Claim_ID,TANS_Org_ID,Claim_Month,Total_Meals_Claimed,Approved_ADP,Reimbursement_Requested,Status
CLM-2026-89210,ORG-1048,2026-04-01,2236,2894,5590.0,Approved
CLM-2026-38514,ORG-1049,2026-04-01,1113,1301,2782.5,Approved
CLM-2026-30644,ORG-1050,2026-04-01,4123,4951,10307.5,Approved
CLM-2026-25198,ORG-1051,2026-04-01,1914,2607,4785.0,Approved
CLM-2026-64959,ORG-1052,2026-04-01,424,601,1060.0,Approved
CLM-2026-48845,ORG-1053,2026-04-01,1254,1649,3135.0,Approved
CLM-2026-13826,ORG-1054,2026-04-01,901,1190,2252.5,Pending Review
CLM-2026-55095,ORG-1055,2026-04-01,3465,4097,8662.5,Approved
CLM-2026-94248,ORG-1056,2026-04-01,437,581,1092.5,Approved
CLM-2026-14407,ORG-1057,2026-04-01,2210,2653,9392.5,Pending Review
CLM-2026-97929,ORG-1058,2026-04-01,451,559,1127.5,Approved
CLM-2026-52322,ORG-1059,2026-04-01,616,736,2618.0,Approved
CLM-2026-90854,ORG-1060,2026-04-01,1883,1740,4707.5,Approved
CLM-2026-97226,ORG-1061,2026-04-01,1623,2189,4057.5,Approved
CLM-2026-55733,ORG-1062,2026-04-01,2514,2216,10684.5,Pending Review
CLM-2026-17802,ORG-1063,2026-04-01,1066,1462,4530.5,Pending Review
CLM-2026-10396,ORG-1064,2026-04-01,2649,3442,6622.5,Approved
CLM-2026-11694,ORG-1065,2026-04-01,3345,4320,8362.5,Pending Review
CLM-2026-65389,ORG-1066,2026-04-01,3730,4820,9325.0,Pending Review
CLM-2026-35438,ORG-1067,2026-04-01,670,932,2847.5,Approved
CLM-2026-23446,ORG-1068,2026-04-01,641,797,1602.5,Pending Review
CLM-2026-86771,ORG-1069,2026-04-01,2582,3335,6455.0,Approved
CLM-2026-89452,ORG-1070,2026-04-01,931,1205,2327.5,Pending Review
CLM-2026-14938,ORG-1071,2026-04-01,627,749,1567.5,Pending Review
CLM-2026-94483,ORG-1072,2026-04-01,557,764,2367.25,Approved
CLM-2026-60868,ORG-1073,2026-04-01,3351,4507,8377.5,Approved
CLM-2026-65116,ORG-1074,2026-04-01,2932,2736,12461.0,Approved
CLM-2026-11411,ORG-1075,2026-04-01,2664,3213,6660.0,Approved
CLM-2026-58807,ORG-1076,2026-04-01,3600,4121,9000.0,Pending Review
CLM-2026-41086,ORG-1077,2026-04-01,2892,3232,7230.0,Pending Review
CLM-2026-50898,ORG-1078,2026-04-01,1143,1476,2857.5,Approved
CLM-2026-71758,ORG-1079,2026-04-01,3533,4253,8832.5,Approved
CLM-2026-40231,ORG-1080,2026-04-01,3188,4460,7970.0,Approved
CLM-2026-37968,ORG-1081,2026-04-01,4122,4907,10305.0,Approved
CLM-2026-91730,ORG-1082,2026-04-01,1213,1378,5155.25,Approved
CLM-2026-21098,ORG-1083,2026-04-01,1827,2223,4567.5,Approved
CLM-2026-38333,ORG-1084,2026-04-01,1985,2217,4962.5,Pending Review
CLM-2026-58679,ORG-1085,2026-04-01,1353,1679,3382.5,Approved
CLM-2026-91824,ORG-1086,2026-04-01,635,761,1587.5,Approved
CLM-2026-62332,ORG-1087,2026-04-01,1875,2253,7968.75,Pending Review
CLM-2026-41741,ORG-1088,2026-04-01,2747,3594,6867.5,Approved
CLM-2026-58168,ORG-1089,2026-04-01,550,666,1375.0,Denied
CLM-2026-21965,ORG-1090,2026-04-01,4082,4830,10205.0,Denied
CLM-2026-52408,ORG-1091,2026-04-01,2040,2659,5100.0,Approved
CLM-2026-48755,ORG-1092,2026-04-01,910,1101,2275.0,Approved
CLM-2026-82529,ORG-1093,2026-04-01,2789,3230,6972.5,Approved
CLM-2026-60492,ORG-1094,2026-04-01,2308,3109,5770.0,Approved
CLM-2026-91613,ORG-1095,2026-04-01,905,1265,2262.5,Approved
CLM-2026-75351,ORG-1096,2026-04-01,1642,2031,4105.0,Approved
CLM-2026-34871,ORG-1097,2026-04-01,503,576,1257.5,Approved
CLM-2026-31449,ORG-1098,2026-04-01,3238,2802,8095.0,Approved
CLM-2026-85086,ORG-1099,2026-04-01,3562,4587,15138.5,Approved
